7,D10,29,1,13.0,41.33333333333333,61.29032258064516,Under Saturated
7,D01,28,1,9.333333333333334,33.833333333333336,44.82758620689656,Under Saturated
7,D03,34,1,13.0,35.5,40.845070422535215,Under Saturated
7,D02,34,1,9.0,34.666666666666664,27.88461538461538,Under Saturated
7,D05,28,4,6.75,37.166666666666664,97.30941704035875,Under Saturated
7,D04,25,2,8.0,36.333333333333336,75.22935779816514,Under Saturated
7,D07,28,3,9.0,38.833333333333336,97.42489270386267,Under Saturated
7,D06,35,1,13.0,38.0,42.10526315789473,Under Saturated
7,D09,31,2,9.0,40.5,67.90123456790124,Under Saturated
7,D08,27,2,9.333333333333334,39.666666666666664,78.99159663865547,Under Saturated
8,D10,34,2,13.0,41.33333333333333,80.64516129032258,Under Saturated
8,D01,29,2,9.333333333333334,33.833333333333336,69.45812807881774,Under Saturated
8,D03,35,0,13.0,35.5,1.4084507042253522,Under Saturated
8,D02,33,2,9.0,34.666666666666664,56.730769230769226,Under Saturated
8,D05,29,3,6.75,37.166666666666664,76.45739910313901,Under Saturated
8,D04,27,2,8.0,36.333333333333336,69.72477064220183,Under Saturated
8,D07,29,2,9.0,38.833333333333336,71.67381974248927,Under Saturated
8,D06,35,0,13.0,38.0,7.894736842105263,Under Saturated
8,D09,32,2,9.0,40.5,65.4320987654321,Under Saturated
8,D08,32,2,9.333333333333334,39.666666666666664,66.38655462184873,Under Saturated
9,D10,35,0,13.0,41.33333333333333,15.32258064516128,Under Saturated
9,D01,35,0,9.333333333333334,33.833333333333336,-3.4482758620689586,Under Saturated
9,D03,35,0,13.0,35.5,1.4084507042253522,Under Saturated
9,D02,35,0,9.0,34.666666666666664,-0.9615384615384683,Under Saturated
9,D05,35,0,6.75,37.166666666666664,5.8295964125560475,Under Saturated
9,D04,35,0,8.0,36.333333333333336,3.6697247706422083,Under Saturated
9,D07,35,0,9.0,38.833333333333336,9.871244635193138,Under Saturated
9,D06,34,0,13.0,38.0,10.526315789473683,Under Saturated
9,D09,35,0,9.0,40.5,13.580246913580247,Under Saturated
9,D08,35,0,9.333333333333334,39.666666666666664,11.764705882352935,Under Saturated
10,D10,33,1,13.0,41.33333333333333,51.61290322580645,Under Saturated
10,D01,34,1,9.333333333333334,33.833333333333336,27.093596059113313,Under Saturated
10,D03,34,1,13.0,35.5,40.845070422535215,Under Saturated
10,D02,34,1,9.0,34.666666666666664,27.88461538461538,Under Saturated
10,D05,29,2,6.75,37.166666666666664,58.29596412556054,Under Saturated
10,D04,30,3,8.0,36.333333333333336,83.4862385321101,Under Saturated
10,D07,33,1,9.0,38.833333333333336,38.19742489270387,Under Saturated
10,D06,34,1,13.0,38.0,44.73684210526316,Under Saturated
10,D09,34,1,9.0,40.5,38.2716049382716,Under Saturated
10,D08,34,1,9.333333333333334,39.666666666666664,37.815126050420176,Under Saturated
11,D10,29,2,13.0,41.33333333333333,92.74193548387096,Under Saturated
11,D01,30,2,9.333333333333334,33.833333333333336,66.5024630541872,Under Saturated
11,D03,29,2,13.0,35.5,91.54929577464789,Under Saturated
11,D02,30,3,9.0,34.666666666666664,91.34615384615384,Under Saturated
11,D05,27,2,6.75,37.166666666666664,63.67713004484305,Under Saturated
11,D04,26,2,8.0,36.333333333333336,72.47706422018348,Under Saturated
11,D07,30,2,9.0,38.833333333333336,69.09871244635193,Under Saturated
11,D06,29,3,13.0,38.0,126.3157894736842,Over Saturated
11,D09,30,2,9.0,40.5,70.37037037037037,Under Saturated
11,D08,28,1,9.333333333333334,39.666666666666664,52.94117647058824,Under Saturated
12,D10,27,1,13.0,41.33333333333333,66.12903225806451,Under Saturated
12,D01,28,0,9.333333333333334,33.833333333333336,17.241379310344833,Under Saturated
12,D03,33,1,13.0,35.5,43.66197183098591,Under Saturated
12,D02,34,1,9.0,34.666666666666664,27.88461538461538,Under Saturated
12,D05,28,3,6.75,37.166666666666664,79.14798206278026,Under Saturated
12,D04,26,1,8.0,36.333333333333336,50.458715596330286,Under Saturated
12,D07,28,3,9.0,38.833333333333336,97.42489270386267,Under Saturated
12,D06,34,1,9.666666666666666,38.0,35.964912280701746,Under Saturated
12,D09,31,1,9.0,40.5,45.67901234567901,Under Saturated
12,D08,26,1,9.333333333333334,39.666666666666664,57.98319327731093,Under Saturated
13,D10,32,2,13.0,41.33333333333333,85.48387096774194,Under Saturated
13,D01,30,2,9.333333333333334,33.833333333333336,66.5024630541872,Under Saturated
13,D03,33,1,13.0,35.5,43.66197183098591,Under Saturated
13,D02,32,1,9.0,34.666666666666664,33.65384615384615,Under Saturated
13,D05,32,4,6.75,37.166666666666664,86.54708520179372,Under Saturated
13,D04,30,2,8.0,36.333333333333336,61.46788990825688,Under Saturated
13,D07,31,2,9.0,38.833333333333336,66.52360515021459,Under Saturated
13,D06,34,2,9.666666666666666,38.0,61.40350877192983,Under Saturated
13,D09,33,2,9.0,40.5,62.96296296296296,Under Saturated
13,D08,31,2,9.333333333333334,39.666666666666664,68.90756302521008,Under Saturated
14,D10,12,4,13.0,41.33333333333333,196.7741935483871,Over Saturated
14,D01,18,7,9.333333333333334,33.833333333333336,239.90147783251237,Over Saturated
14,D03,20,4,13.0,35.5,190.14084507042253,Over Saturated
14,D02,17,8,9.0,34.666666666666664,258.65384615384613,Over Saturated
14,D05,9,3,6.75,37.166666666666664,130.26905829596413,Over Saturated
14,D04,12,6,8.0,36.333333333333336,199.08256880733944,Over Saturated
14,D07,7,2,9.0,38.833333333333336,128.3261802575107,Over Saturated
14,D06,18,6,9.666666666666666,38.0,205.26315789473685,Over Saturated
